time,partner,commodity,commoditycode,netweight,tradevalueus,t,year
2017,Honduras,Flourinated polyimides,392099,0,0,2017,2017
2018,Honduras,Flourinated polyimides,392099,0,0,2018,2018
2019,Honduras,Flourinated polyimides,392099,0,0,2019,2019
2017,Hong Kong,Flourinated polyimides,392099,2.2,134,2017,2017
2018,Hong Kong,Flourinated polyimides,392099,1.1,399,2018,2018
2019,Hong Kong,Flourinated polyimides,392099,1.4,3687,2019,2019
2020,Hong Kong,Flourinated polyimides,392099,.7,69,2020,2020
2017,Hungary,Flourinated polyimides,392099,0,0,2017,2017
2018,Hungary,Flourinated polyimides,392099,0,0,2018,2018
2019,Hungary,Flourinated polyimides,392099,0,0,2019,2019
2020,Hungary,Flourinated polyimides,392099,0,0,2020,2020
2020,Iceland,Flourinated polyimides,392099,0,27,2020,2020
2017,India,Flourinated polyimides,392099,28.9,289,2017,2017
2018,India,Flourinated polyimides,392099,18.4,194,2018,2018
2019,India,Flourinated polyimides,392099,.6,4,2019,2019
2020,India,Flourinated polyimides,392099,2.4,90,2020,2020
2017,Indonesia,Flourinated polyimides,392099,.1,1,2017,2017
